seed,name
1789,Déclaration des droits de l'Homme et du citoyen
1795,Zum ewigen Frieden
1848,Declaration of Sentiments
1919,Covenant of the League of Nations
1930,नमक सत्याग्रह
1945,Charter of the United Nations
1947,日本国憲法第9条
1948,Universal Declaration of Human Rights
1955,Montgomery Bus Boycott
1963,March on Washington for Jobs and Freedom
1968,Treaty on the Non-Proliferation of Nuclear Weapons
1972,Stockholm Declaration
1997,京都議定書
2011,Occupy Movement
2013,Black Lives Matter Movement
2015,Accord de Paris
